Date,Open,High,Low,Close,Adj Close,Volume
2010-12-27,79.370003,79.400002,78.980003,79.269997,65.672943,1388800
2010-12-28,79.570000,79.570000,79.040001,79.290001,65.689507,2066300
2010-12-29,79.459999,79.669998,79.089996,79.099998,65.532082,1559100
2010-12-30,78.919998,79.120003,78.610001,78.849998,65.324982,1504400
2010-12-31,78.800003,78.820000,78.250000,78.720001,65.217285,1782200
2011-01-03,79.190002,79.419998,78.959999,78.989998,65.440964,3059800
2011-01-04,78.589996,79.480003,78.400002,79.120003,65.548660,3659000
2011-01-05,78.589996,79.559998,78.589996,79.230003,65.639786,2820600
2011-01-06,79.410004,79.750000,79.040001,79.150002,65.573532,3486400
2011-01-07,79.139999,79.690002,78.629997,79.080002,65.515533,2771900
2011-01-10,78.269997,78.690002,77.809998,78.459999,65.001877,3301600
2011-01-11,78.599998,79.180000,78.470001,78.919998,65.382980,3474600
2011-01-12,79.570000,79.900002,79.239998,79.430000,65.805504,3242200
2011-01-13,79.489998,79.760002,79.150002,79.500000,65.863495,2694500
2011-01-14,79.199997,79.309998,78.690002,79.080002,65.515533,4624000
2011-01-18,79.279999,79.750000,79.190002,79.570000,65.921463,3794700
2011-01-19,79.669998,80.000000,79.169998,79.910004,66.203163,4108900
2011-01-20,79.620003,79.910004,78.980003,79.550003,65.904915,3941000
2011-01-21,79.900002,80.500000,79.760002,80.199997,66.443413,4613200
2011-01-24,80.260002,81.540001,80.260002,81.519997,67.536972,4741200
2011-01-25,81.459999,81.730003,80.879997,81.730003,67.710976,4495700
2011-01-26,81.680000,81.949997,80.760002,81.410004,67.445885,5314200
2011-01-27,81.940002,82.989998,81.800003,82.589996,68.423477,4450000
2011-01-28,82.870003,83.080002,80.709999,81.430000,67.462425,4563600
2011-01-31,81.800003,81.989998,80.660004,81.300003,67.354744,4292700
2011-02-01,81.629997,82.059998,81.430000,81.830002,67.793823,3524700
2011-02-02,81.839996,82.540001,81.680000,82.160004,68.067215,2748700
2011-02-03,82.160004,82.309998,81.580002,82.220001,68.116928,2277200
2011-02-04,82.330002,82.599998,82.010002,82.519997,68.365486,2834400
2011-02-07,82.849998,83.820000,82.730003,83.660004,69.309937,3573500
2011-02-08,83.110001,83.940002,83.099998,83.879997,69.492203,2576500
2011-02-09,83.720001,84.000000,83.220001,83.980003,69.575058,3089400
2011-02-10,84.370003,85.150002,84.339996,84.750000,70.212959,4426500
2011-02-11,84.639999,85.459999,84.459999,85.199997,70.585777,2974500
2011-02-14,85.070000,85.440002,84.900002,85.209999,70.594086,2783800
2011-02-15,85.110001,85.110001,84.489998,84.930000,70.362076,2818100
2011-02-16,84.860001,85.129997,84.410004,85.059998,70.824226,2995800
2011-02-17,84.669998,85.000000,84.250000,84.540001,70.391258,3317700
